country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,reactor,uranium
Tuonela,Beelzebub,The Order,120k active personnel,9 ships,Korean War surplus,Gandhi-like,7 factories,Elite,last online 2 hours ago,45 Hundred Tons per month,3 Mbbl per month,Central Planning,$7224 million,285 Mbbl; 3 Mbbl,Untapped,Very Powerful,The Subcontinent,Soviet Union,62884 km 2,http://blocgame.com/stats.php?id=389,,
USSR,CommissarBrian,The Order,49k active personnel,0 ships,Korean War surplus,Gandhi-like,10 factories,Elite,last online 4 hours ago,39 Hundred Tons per month,9 Mbbl per month,Central Planning,$6755 million,44 Mbbl; 9 Mbbl,Untapped,Very Powerful,China,Soviet Union,54281 km 2,http://blocgame.com/stats.php?id=54182,,
Shambala,Feranon,Brotherhood of Nod,90k active personnel,4 ships,Korean War surplus,Gandhi-like,5 factories,Elite,last online 1 hours ago,15 Hundred Tons per month,5 Mbbl per month,Central Planning,$5656 million,483 Mbbl; 5 Mbbl,Untapped,Powerful,Pacific Rim,Soviet Union,37105 km 2,http://blocgame.com/stats.php?id=41268,5%,
LOCAI,Agumentic,Brotherhood of Nod,77k active personnel,14 ships,Korean War surplus,Gandhi-like,6 factories,Elite,last online 1 hours ago,12 Hundred Tons per month,8 Mbbl per month,Free Market,$5413 million,377 Mbbl; 8 Mbbl,Untapped,Powerful,The Subcontinent,United States,36708 km 2,http://blocgame.com/stats.php?id=53011,,
Markovia,RDM HC,The Federal Colonies,149k active personnel,14 ships,Korean War surplus,Gandhi-like,5 factories,Elite,last online 1 hours ago,40 Hundred Tons per month,,Free Market,$5362 million,,Untapped,Very Powerful,Caribbean,United States,44119 km 2,http://blocgame.com/stats.php?id=58369,,
Sovngarde,Farron47,The Order,8k active personnel,15 ships,Korean War surplus,Angelic,3 factories,Undisciplined Rabble,last online 14 hours ago,35 Hundred Tons per month,8 Mbbl per month,Central Planning,$5361 million,230 Mbbl; 8 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,34863 km 2,http://blocgame.com/stats.php?id=62626,,
Aminichina,doublepedaldylan,The Order,53k active personnel,5 ships,Second World War surplus,Gandhi-like,1 factory,Standard,last online 2 hours ago,12 Hundred Tons per month,5 Mbbl per month,Central Planning,$5327 million,915 Mbbl; 5 Mbbl,Untapped,Large,Indochina,Soviet Union,35803 km 2,http://blocgame.com/stats.php?id=56720,,
Conferan,Cryptox,The Order,199k active personnel,11 ships,Vietnam War surplus,Good,5 factories,Elite,last online 4 hours ago,21 Hundred Tons per month,7 Mbbl per month,Central Planning,$5311 million,125 Mbbl,Plentiful,Very Powerful,East Indies,Soviet Union,73153 km 2,http://blocgame.com/stats.php?id=56710,,
Morovistan,Gustave Bergher,SPQR,50k active personnel,3 ships,Korean War surplus,Gandhi-like,3 factories,Good,last online 68 hours ago,25 Hundred Tons per month,19 Mbbl per month,Central Planning,$5275 million,4697 Mbbl; 19 Mbbl,Untapped,Very Powerful,Mesopotamia,Soviet Union,30626 km 2,http://blocgame.com/stats.php?id=62905,,
TheDarkSide,LordVader,Misanthropics,30k active personnel,11 ships,Almost Modern,Normal,4 factories,Undisciplined Rabble,online now,24 Hundred Tons per month,4 Mbbl per month,Central Planning,$5117 million,384 Mbbl; 4 Mbbl,,Very Powerful,East Indies,Neutral,43338 km 2,http://blocgame.com/stats.php?id=63139,,
Platypus Island,Mark0Polo,SPQR,6k active personnel,5 ships,Second World War surplus,Angelic,4 factories,Standard,last online 28 hours ago,40 Hundred Tons per month,21 Mbbl per month,Central Planning,$5109 million,21 Mbbl,,Meagre,Indochina,Soviet Union,56213 km 2,http://blocgame.com/stats.php?id=63909,,
Ferma,President Jacobo Vincenzo,The Order,9k active personnel,7 ships,Vietnam War surplus,Gandhi-like,3 factories,Good,last online 4 hours ago,25 Hundred Tons per month,,Free Market,$4947 million,266 Mbbl,Near Depletion,Meagre,Southern Cone,United States,40611 km 2,http://blocgame.com/stats.php?id=58784,,
Coccoladia,Ernesto Caprone,The Federal Colonies,71k active personnel,1 ships,Korean War surplus,Gandhi-like,4 factories,Standard,last online 2 hours ago,22 Hundred Tons per month,2 Mbbl per month,Central Planning,$4919 million,2 Mbbl,Untapped,Very Powerful,Caribbean,Soviet Union,27057 km 2,http://blocgame.com/stats.php?id=40289,,1 Tons
Uzbekistanstan,Shaikh Zayer,The Order,89k active personnel,8 ships,Korean War surplus,Gandhi-like,6 factories,Good,online now,59 Hundred Tons per month,5 Mbbl per month,Free Market,$4913 million,135 Mbbl,Untapped,Very Powerful,Congo,United States,42029 km 2,http://blocgame.com/stats.php?id=47207,,
Tamarlania,Vagrant,The Order,133k active personnel,51 ships,Korean War surplus,Gandhi-like,8 factories,Elite,last online 22 hours ago,74 Hundred Tons per month,67 Mbbl per month,Free Market,$4895 million,2079 Mbbl,Untapped,Very Powerful,Mesopotamia,Neutral,63802 km 2,http://blocgame.com/stats.php?id=61626,5%,
Asians,bigyihsuan,The Order,89k active personnel,2 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 1 hours ago,11 Hundred Tons per month,5 Mbbl per month,Mixed Economy,$4857 million,57 Mbbl; 5 Mbbl,Untapped,Somewhat Large,Pacific Rim,United States,7992 km 2,http://blocgame.com/stats.php?id=41551,,
Lorigan,Lorigan,Interpol,118k active personnel,6 ships,Korean War surplus,Gandhi-like,4 factories,Elite,last online 3 hours ago,29 Hundred Tons per month,8 Mbbl per month,Central Planning,$4745 million,143 Mbbl; 8 Mbbl,Plentiful,Large,Amazonia,Soviet Union,43631 km 2,http://blocgame.com/stats.php?id=59787,,
